onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
247.72845533333333	149.05576666666667	epochs	0				
247.72845533333333	3.0	trials	0	1.0	P	R	1.0
250.818422	3.0	trials	0	2.0	I	I	4.0
253.91845533333336	2.9999999999999716	trials	0	3.0	X	X	2.0
256.998622	3.0	trials	0	4.0	R	R	12.0
260.088622	3.0	trials	0	5.0	T	T	3.0
263.177822	3.0	trials	0	6.0	M	M	7.0
266.297822	3.0	trials	0	7.0	I	I	11.0
269.398022	3.0	trials	0	8.0	X	M	8.0
272.488022	3.0	trials	0	9.0	R	R	10.0
275.598022	3.0	trials	0	10.0	P	P	6.0
278.688222	3.0	trials	0	11.0	M	M	5.0
281.79718866666667	3.0	trials	0	12.0	T	T	9.0
284.89745533333337	3.0	trials	0	13.0	T	T	5.0
288.0074553333333	3.0	trials	0	14.0	R	R	10.0
291.08745533333337	3.0	trials	0	15.0	I	I	8.0
294.2076553333333	3.0	trials	0	16.0	P	P	1.0
297.287622	3.0	trials	0	17.0	M	M	6.0
300.41702200000003	3.0	trials	0	18.0	X	T	2.0
303.5368886666667	3.0	trials	0	19.0	M	M	7.0
306.667022	3.0	trials	0	20.0	X	X	9.0
309.757022	3.0	trials	0	21.0	T	T	11.0
312.85702200000003	3.0	trials	0	22.0	R	R	3.0
315.996222	3.0	trials	0	23.0	P	P	12.0
319.086222	3.0	trials	0	24.0	I	I	4.0
322.18622200000004	3.0	trials	0	25.0	M	M	10.0
325.29645533333337	3.0	trials	0	26.0	T	T	12.0
328.4164553333334	3.0	trials	0	27.0	I	I	5.0
331.53665533333333	3.0	trials	0	28.0	X	X	6.0
334.66565533333335	3.0	trials	0	29.0	R	R	1.0
337.795622	3.0	trials	0	30.0	P	P	9.0
340.8758886666667	3.0	trials	0	31.0	I	I	11.0
343.986022	3.0	trials	0	32.0	M	M	3.0
347.076022	3.0	trials	0	33.0	T	T	7.0
350.165022	3.0	trials	0	34.0	P	P	8.0
353.275222	3.0	trials	0	35.0	X	M	4.0
356.415222	3.0	trials	0	36.0	R	M	2.0
359.545222	3.0	trials	0	37.0	I	I	7.0
362.67545533333333	3.0	trials	0	38.0	R	R	8.0
365.755422	3.0	trials	0	39.0	T	T	1.0
368.8446553333333	3.0	trials	0	40.0	X	X	4.0
371.98475533333334	3.0	trials	0	41.0	M	M	6.0
375.1046553333333	3.0	trials	0	42.0	P	P	9.0
378.2348886666667	3.0	trials	0	43.0	T	T	12.0
381.325022	3.0	trials	0	44.0	P	P	2.0
384.415022	3.0	trials	0	45.0	X	M	10.0
387.54402200000004	3.0	trials	0	46.0	M	M	5.0
390.674222	3.0	trials	0	47.0	R	R	11.0
393.784222	3.0	trials	0	48.0	I	I	3.0
427.729094	149.23596666666668	epochs	1				
427.729094	3.0	trials	1	1.0	M	R	7.0
430.85909399999997	3.0	trials	1	2.0	X	M	1.0
433.98932733333334	3.0	trials	1	3.0	T	T	6.0
437.1093273333333	3.0	trials	1	4.0	I	I	9.0
440.20832733333333	3.0	trials	1	5.0	P	P	5.0
443.298394	3.0	trials	1	6.0	R	R	2.0
446.4286273333333	3.0	trials	1	7.0	R	R	4.0
449.5186273333333	3.0	trials	1	8.0	M	M	10.0
452.648894	3.0	trials	1	9.0	P	R	12.0
455.747894	3.0	trials	1	10.0	X	X	11.0
458.837894	3.0	trials	1	11.0	T	T	3.0
461.938094	3.0	trials	1	12.0	I	I	8.0
465.07809399999996	3.0	trials	1	13.0	R	R	7.0
468.19809399999997	3.0	trials	1	14.0	T	T	1.0
471.318294	3.0	trials	1	15.0	I	I	3.0
474.4073273333333	3.0	trials	1	16.0	M	M	4.0
477.5275273333333	3.0	trials	1	17.0	P	P	11.0
480.6175273333333	3.0	trials	1	18.0	X	M	12.0
483.7075273333333	3.0	trials	1	19.0	P	P	6.0
486.797694	3.0	trials	1	20.0	X	X	8.0
489.896894	3.0	trials	1	21.0	R	R	9.0
492.996894	3.0	trials	1	22.0	I	I	10.0
496.126894	3.0	trials	1	23.0	T	T	2.0
499.23709399999996	3.0	trials	1	24.0	M	I	5.0
502.327094	3.0	trials	1	25.0	X	X	12.0
505.457094	3.0	trials	1	26.0	R	R	10.0
