onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
161.34769100000003	149.3045	epochs	0				
161.34769100000003	3.0	trials	0	1.0	M	I	4.0
164.46642433333335	3.0	trials	0	2.0	T	T	1.0
167.58642433333335	3.0	trials	0	3.0	R	R	9.0
170.6764576666667	3.0	trials	0	4.0	P	I	10.0
173.78662433333335	3.0	trials	0	5.0	X	M	12.0
176.88582433333335	3.0	trials	0	6.0	I	I	3.0
180.03582433333335	3.0	trials	0	7.0	P	P	2.0
183.13599100000002	3.0	trials	0	8.0	T	T	7.0
186.265991	3.0	trials	0	9.0	R	R	8.0
189.38602433333335	3.0	trials	0	10.0	X	X	11.0
192.4862576666667	3.0	trials	0	11.0	M	M	6.0
195.60522433333335	3.0	trials	0	12.0	I	I	5.0
198.73522433333335	3.0	trials	0	13.0	R	R	10.0
201.86545766666669	3.0	trials	0	14.0	T	T	3.0
204.98562433333336	3.0	trials	0	15.0	M	M	9.0
208.075691	3.0	trials	0	16.0	P	P	12.0
211.1746576666667	3.0	trials	0	17.0	I	I	7.0
214.28482433333335	3.0	trials	0	18.0	X	X	11.0
217.41482433333334	3.0	trials	0	19.0	R	P	8.0
220.52482433333336	3.0	trials	0	20.0	X	X	5.0
223.65502433333336	3.0	trials	0	21.0	M	I	6.0
226.8152576666667	3.0	trials	0	22.0	T	T	4.0
229.91425766666669	3.0	trials	0	23.0	P	P	2.0
233.0342576666667	3.0	trials	0	24.0	I	I	1.0
236.15445766666667	3.0	trials	0	25.0	M	M	12.0
239.28462433333334	3.0	trials	0	26.0	X	M	3.0
242.37445766666667	3.0	trials	0	27.0	R	M	1.0
245.50359100000003	3.0	trials	0	28.0	T	T	2.0
248.61365766666668	3.0	trials	0	29.0	I	I	5.0
251.69382433333334	3.0	trials	0	30.0	P	P	4.0
254.79382433333336	3.0	trials	0	31.0	R	R	8.0
257.88382433333334	3.0	trials	0	32.0	X	R	11.0
260.993991	3.0	trials	0	33.0	I	I	9.0
264.1130243333333	3.0	trials	0	34.0	P	P	10.0
267.22325766666665	3.0	trials	0	35.0	T	I	7.0
270.3632576666667	3.0	trials	0	36.0	M	X	6.0
273.48325766666665	3.0	trials	0	37.0	T	T	3.0
276.5834576666667	3.0	trials	0	38.0	R	P	8.0
279.66345766666666	3.0	trials	0	39.0	I	I	2.0
282.792791	3.0	trials	0	40.0	P	P	12.0
285.872591	3.0	trials	0	41.0	M	M	5.0
288.97282433333334	3.0	trials	0	42.0	X	R	10.0
292.11182433333335	3.0	trials	0	43.0	T	T	4.0
295.212991	3.0	trials	0	44.0	M	M	7.0
298.321991	3.0	trials	0	45.0	P	P	1.0
301.43199100000004	3.0	trials	0	46.0	X	X	11.0
304.5322576666667	3.0	trials	0	47.0	R	R	6.0
307.652191	3.0	trials	0	48.0	I	I	9.0
420.646639	149.00579999999997	epochs	1				
420.646639	3.0	trials	1	1.0	T	T	9.0
423.76657233333333	3.0	trials	1	2.0	P	P	8.0
426.846639	3.0	trials	1	3.0	I	I	3.0
429.9767723333333	3.0	trials	1	4.0	X	X	4.0
433.06700566666666	3.0	trials	1	5.0	M	M	12.0
436.15700566666663	3.0	trials	1	6.0	R	R	7.0
439.2562723333333	3.0	trials	1	7.0	P	P	2.0
