onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
247.77235666666667	148.7558666666667	epochs	0				
247.77235666666667	3.0	trials	0	1.0	I	I	6.0
250.86238999999998	3.0	trials	0	2.0	T	T	5.0
254.00235666666666	2.9999999999999716	trials	0	3.0	R	P	1.0
257.1026233333333	3.0	trials	0	4.0	M	I	3.0
260.23278999999997	3.0	trials	0	5.0	X	X	11.0
263.32178999999996	3.0	trials	0	6.0	P	P	8.0
266.40179	3.0	trials	0	7.0	T	T	4.0
269.50199	3.0	trials	0	8.0	P	P	12.0
272.61195666666663	3.0	trials	0	9.0	I	X	9.0
275.71199	3.0	trials	0	10.0	M	R	2.0
278.80219	3.0	trials	0	11.0	R	R	7.0
281.92122333333333	3.0	trials	0	12.0	X	X	10.0
285.01919	3.0	trials	0	13.0	M	M	7.0
288.13139	3.0	trials	0	14.0	T	T	5.0
291.26135666666664	3.0	trials	0	15.0	X	M	10.0
294.36162333333334	3.0	trials	0	16.0	I	I	3.0
297.45178999999996	3.0	trials	0	17.0	R	P	12.0
300.54079	3.0	trials	0	18.0	P	P	2.0
303.64099	3.0	trials	0	19.0	X	X	8.0
306.73099	3.0	trials	0	20.0	R	R	6.0
309.82119	3.0	trials	0	21.0	M	R	9.0
312.95099	3.0	trials	0	22.0	T	T	1.0
316.06019	3.0	trials	0	23.0	I	M	11.0
319.1702233333333	3.0	trials	0	24.0	P	P	4.0
322.2804233333333	3.0	trials	0	25.0	M	X	4.0
325.3704233333333	3.0	trials	0	26.0	P	P	12.0
328.47059	3.0	trials	0	27.0	R	M	6.0
331.58062333333334	3.0	trials	0	28.0	T	T	9.0
334.67978999999997	3.0	trials	0	29.0	I	T	3.0
337.76979	3.0	trials	0	30.0	X	M	7.0
340.88979	3.0	trials	0	31.0	R	R	5.0
343.97999	3.0	trials	0	32.0	M	I	11.0
347.06995666666666	3.0	trials	0	33.0	P	R	10.0
350.16019	3.0	trials	0	34.0	T	T	8.0
353.25922333333335	3.0	trials	0	35.0	X	M	2.0
356.34938999999997	3.0	trials	0	36.0	I	I	1.0
359.4557566666667	3.0	trials	0	37.0	R	X	3.0
362.54939	3.0	trials	0	38.0	M	R	1.0
365.62959	3.0	trials	0	39.0	T	T	12.0
368.72859	3.0	trials	0	40.0	X	P	7.0
371.81879	3.0	trials	0	41.0	P	P	11.0
374.90878999999995	3.0	trials	0	42.0	I	I	10.0
377.99879	3.0	trials	0	43.0	X	X	2.0
381.09898999999996	3.0	trials	0	44.0	T	T	8.0
384.18899	3.0	trials	0	45.0	P	P	6.0
387.29819	3.0	trials	0	46.0	R	R	9.0
390.42819	3.0	trials	0	47.0	M	R	5.0
393.52822333333336	3.0	trials	0	48.0	I	X	4.0
497.22378100000003	148.74603333333334	epochs	1				
497.22378100000003	3.0	trials	1	1.0	T	T	5.0
500.3443476666667	3.0	trials	1	2.0	X	M	3.0
503.4340143333333	3.0	trials	1	3.0	P	P	2.0
506.554181	3.0	trials	1	4.0	R	R	10.0
509.643181	3.0	trials	1	5.0	I	I	4.0
512.743181	3.0	trials	1	6.0	M	M	1.0
515.8333476666667	3.0	trials	1	7.0	P	R	6.0
518.923581	3.0	trials	1	8.0	X	M	7.0
522.013581	3.0	trials	1	9.0	R	R	8.0
525.1035476666667	3.0	trials	1	10.0	I	I	12.0
528.202781	3.0	trials	1	11.0	T	T	9.0
531.3128143333333	3.0	trials	1	12.0	M	M	11.0
534.432781	3.0	trials	1	13.0	R	P	4.0
537.5228143333334	3.0	trials	1	14.0	I	I	1.0
540.653181	3.0	trials	1	15.0	X	X	7.0
