onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
321.32099700000003	148.94599999999997	epochs	0				
321.32099700000003	3.0	trials	0	1.0	I	I	3.0
324.420997	3.0	trials	0	2.0	P	P	11.0
327.550997	3.0	trials	0	3.0	M	M	4.0
330.681197	3.0	trials	0	4.0	R	R	2.0
333.781197	3.0	trials	0	5.0	T	T	1.0
336.900397	3.0	trials	0	6.0	X	X	5.0
340.04043033333335	3.0	trials	0	7.0	T	T	6.0
343.1605636666667	3.0	trials	0	8.0	R	R	7.0
346.260597	3.0	trials	0	9.0	P	P	9.0
349.38063033333333	3.0	trials	0	10.0	I	X	10.0
352.479797	3.0	trials	0	11.0	M	M	8.0
355.56983033333336	3.0	trials	0	12.0	X	X	12.0
358.65999700000003	3.0	trials	0	13.0	P	P	6.0
361.759997	3.0	trials	0	14.0	X	X	10.0
364.880197	3.0	trials	0	15.0	M	M	12.0
367.970197	3.0	trials	0	16.0	R	R	8.0
371.04933033333333	3.0	trials	0	17.0	T	T	4.0
374.13943033333334	3.0	trials	0	18.0	I	I	2.0
377.2794303333333	3.0	trials	0	19.0	M	P	1.0
380.39963033333333	3.0	trials	0	20.0	X	I	5.0
383.50963033333335	3.0	trials	0	21.0	P	R	9.0
386.60863033333334	3.0	trials	0	22.0	T	T	11.0
389.708797	3.0	trials	0	23.0	R	R	3.0
392.79879700000004	3.0	trials	0	24.0	I	I	7.0
395.898997	3.0	trials	0	25.0	R	P	6.0
399.019197	3.0	trials	0	26.0	M	M	11.0
402.109197	3.0	trials	0	27.0	P	P	4.0
405.238197	3.0	trials	0	28.0	X	R	8.0
408.368197	3.0	trials	0	29.0	T	X	2.0
411.44843033333336	3.0	trials	0	30.0	I	I	12.0
414.568397	3.0	trials	0	31.0	R	R	10.0
417.65843033333334	3.0	trials	0	32.0	X	P	9.0
420.788597	3.0	trials	0	33.0	M	I	3.0
423.86763033333335	3.0	trials	0	34.0	T	T	1.0
426.9678636666667	3.0	trials	0	35.0	P	P	7.0
430.067997	3.0	trials	0	36.0	I	I	5.0
433.157997	3.0	trials	0	37.0	R	R	1.0
436.287997	3.0	trials	0	38.0	P	M	7.0
439.387197	3.0	trials	0	39.0	M	M	2.0
442.4871636666667	3.0	trials	0	40.0	X	X	8.0
445.567197	3.0	trials	0	41.0	T	T	10.0
448.66743033333336	3.0	trials	0	42.0	I	P	4.0
451.75759700000003	3.0	trials	0	43.0	I	I	3.0
454.8476303333333	3.0	trials	0	44.0	R	R	12.0
457.93656366666664	3.0	trials	0	45.0	M	M	5.0
461.0267636666667	3.0	trials	0	46.0	T	T	11.0
464.156797	3.0	trials	0	47.0	X	I	9.0
467.266997	3.0	trials	0	48.0	P	P	6.0
504.21064566666666	149.06486666666672	epochs	1				
504.21064566666666	3.0	trials	1	1.0	R	P	8.0
507.300679	3.0	trials	1	2.0	I	I	7.0
510.409679	3.0	trials	1	3.0	P	P	1.0
513.489679	3.0	trials	1	4.0	X	T	10.0
516.6099123333333	3.0	trials	1	5.0	M	R	9.0
519.700079	3.0	trials	1	6.0	T	X	5.0
522.800079	3.0	trials	1	7.0	X	X	3.0
525.940079	3.0	trials	1	8.0	P	P	4.0
529.029079	3.0	trials	1	9.0	T	T	2.0
532.109279	3.0	trials	1	10.0	R	M	6.0
535.249279	3.0	trials	1	11.0	M	M	11.0
538.3495123333333	3.0	trials	1	12.0	I	I	12.0
541.4494456666666	3.0	trials	1	13.0	R	X	6.0
544.568679	3.0	trials	1	14.0	T	X	5.0
547.6587123333334	3.0	trials	1	15.0	I	I	8.0
550.798679	3.0	trials	1	16.0	P	P	3.0
553.909079	3.0	trials	1	17.0	X	M	2.0
556.999079	3.0	trials	1	18.0	M	P	7.0
560.119079	3.0	trials	1	19.0	R	P	10.0
563.208079	3.0	trials	1	20.0	P	R	12.0
566.338279	3.0	trials	1	21.0	X	P	9.0
569.4482456666667	3.0	trials	1	22.0	T	I	4.0
572.548479	3.0	trials	1	23.0	M	M	11.0
575.6785123333334	3.0	trials	1	24.0	I	I	1.0
578.8175123333333	3.0	trials	1	25.0	P	P	11.0
581.9377123333334	3.0	trials	1	26.0	I	I	12.0
585.0179123333334	3.0	trials	1	27.0	X	X	1.0
588.107879	3.0	trials	1	28.0	R	R	5.0
591.2279123333334	3.0	trials	1	29.0	M	M	8.0
594.358079	3.0	trials	1	30.0	T	X	2.0
597.457079	3.0	trials	1	31.0	X	X	3.0
600.547079	3.0	trials	1	32.0	I	I	10.0
603.677279	3.0	trials	1	33.0	P	P	9.0
606.767279	3.0	trials	1	34.0	M	M	6.0
609.887479	3.0	trials	1	35.0	R	R	4.0
612.987479	3.0	trials	1	36.0	T	T	7.0
616.1166456666667	3.0	trials	1	37.0	P	R	2.0
619.2267123333334	3.0	trials	1	38.0	X	X	10.0
622.306679	3.0	trials	1	39.0	R	R	7.0
625.4369123333333	3.0	trials	1	40.0	I	I	12.0
628.516879	3.0	trials	1	41.0	M	M	6.0
631.646079	3.0	trials	1	42.0	T	I	5.0
634.766079	3.0	trials	1	43.0	T	X	8.0
637.8662456666667	3.0	trials	1	44.0	M	R	3.0
640.9962456666667	3.0	trials	1	45.0	I	I	4.0
644.096279	3.0	trials	1	46.0	X	X	1.0
647.1865123333333	3.0	trials	1	47.0	R	R	9.0
650.2755123333334	3.0	trials	1	48.0	P	P	11.0
685.009579	149.12576666666666	epochs	2				
685.009579	3.0	trials	2	1.0	T	X	9.0
