onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
596.2724643333333	148.65599999999995	epochs	0				
596.2724643333333	3.0	trials	0	1.0	T	I	3.0
599.382631	3.0	trials	0	2.0	P	P	4.0
602.4625976666666	3.0	trials	0	3.0	I	I	7.0
605.5526643333333	3.0	trials	0	4.0	X	X	11.0
608.6327976666666	3.0	trials	0	5.0	M	M	2.0
611.723031	3.0	trials	0	6.0	R	R	5.0
614.8120309999999	3.0	trials	0	7.0	P	P	8.0
617.902031	3.0	trials	0	8.0	I	X	12.0
621.002131	3.0	trials	0	9.0	R	R	9.0
624.1021976666666	3.0	trials	0	10.0	X	X	1.0
627.192631	3.0	trials	0	11.0	T	T	6.0
630.292231	3.0	trials	0	12.0	M	M	10.0
633.3914643333333	3.0	trials	0	13.0	T	T	4.0
636.521631	3.0	trials	0	14.0	R	R	3.0
639.601631	3.0	trials	0	15.0	P	P	1.0
642.6917976666666	3.0	trials	0	16.0	X	X	7.0
645.8218976666667	3.0	trials	0	17.0	I	I	10.0
648.911031	3.0	trials	0	18.0	M	R	9.0
652.001031	3.0	trials	0	19.0	T	T	6.0
655.141031	3.0	trials	0	20.0	X	X	12.0
658.2311976666666	3.0	trials	0	21.0	P	I	8.0
661.3411976666666	3.0	trials	0	22.0	R	P	5.0
664.431231	3.0	trials	0	23.0	I	I	2.0
667.5304643333333	3.0	trials	0	24.0	M	M	11.0
670.640431	3.0	trials	0	25.0	I	I	1.0
673.7506643333334	3.0	trials	0	26.0	R	R	11.0
676.830631	3.0	trials	0	27.0	T	T	3.0
679.9206643333333	3.0	trials	0	28.0	P	P	2.0
683.0098976666667	3.0	trials	0	29.0	M	M	6.0
686.100031	3.0	trials	0	30.0	X	M	9.0
689.190031	3.0	trials	0	31.0	R	R	5.0
692.300031	3.0	trials	0	32.0	M	M	7.0
695.3901976666666	3.0	trials	0	33.0	X	X	4.0
698.520231	3.0	trials	0	34.0	T	T	12.0
701.6594643333333	3.0	trials	0	35.0	P	X	8.0
704.7593976666667	3.0	trials	0	36.0	I	I	10.0
707.8695643333333	3.0	trials	0	37.0	R	R	12.0
710.9596643333333	3.0	trials	0	38.0	T	T	2.0
714.0395976666666	3.0	trials	0	39.0	P	P	5.0
717.129831	3.0	trials	0	40.0	X	X	11.0
720.2188976666666	3.0	trials	0	41.0	I	I	9.0
723.309031	3.0	trials	0	42.0	M	M	3.0
726.3890309999999	3.0	trials	0	43.0	P	P	8.0
729.479031	3.0	trials	0	44.0	R	R	7.0
732.6092309999999	3.0	trials	0	45.0	I	I	1.0
735.698231	3.0	trials	0	46.0	T	T	10.0
738.838431	3.0	trials	0	47.0	X	X	4.0
741.9284643333333	3.0	trials	0	48.0	M	X	6.0
821.894376	148.99480000000005	epochs	1				
821.894376	3.0	trials	1	1.0	T	T	12.0
825.0034093333334	3.0	trials	1	2.0	M	M	10.0
828.083376	3.0	trials	1	3.0	P	P	9.0
831.203576	3.0	trials	1	4.0	I	I	5.0
834.303576	3.0	trials	1	5.0	X	X	8.0
837.393576	3.0	trials	1	6.0	R	P	11.0
840.4827760000001	3.0	trials	1	7.0	M	I	7.0
843.572776	3.0	trials	1	8.0	I	I	1.0
846.672776	3.0	trials	1	9.0	P	P	6.0
849.7732093333334	3.0	trials	1	10.0	X	X	3.0
852.8830093333333	3.0	trials	1	11.0	T	T	4.0
855.9932093333333	3.0	trials	1	12.0	R	M	2.0
859.102176	3.0	trials	1	13.0	X	X	12.0
862.222376	3.0	trials	1	14.0	M	M	3.0
865.3224093333333	3.0	trials	1	15.0	T	T	8.0
